model_name,d_in,d_out,prec,model_file
dense_2_52_2b,2,52,2,pregen_latency_models/dense_2_52_2b.h5
dense_2_52_4b,2,52,4,pregen_latency_models/dense_2_52_4b.h5
dense_2_52_6b,2,52,6,pregen_latency_models/dense_2_52_6b.h5
dense_2_52_8b,2,52,8,pregen_latency_models/dense_2_52_8b.h5
dense_2_52_10b,2,52,10,pregen_latency_models/dense_2_52_10b.h5
dense_2_52_12b,2,52,12,pregen_latency_models/dense_2_52_12b.h5
dense_2_52_14b,2,52,14,pregen_latency_models/dense_2_52_14b.h5
dense_2_52_16b,2,52,16,pregen_latency_models/dense_2_52_16b.h5
dense_2_54_2b,2,54,2,pregen_latency_models/dense_2_54_2b.h5
dense_2_54_4b,2,54,4,pregen_latency_models/dense_2_54_4b.h5
dense_2_54_6b,2,54,6,pregen_latency_models/dense_2_54_6b.h5
dense_2_54_8b,2,54,8,pregen_latency_models/dense_2_54_8b.h5
dense_2_54_10b,2,54,10,pregen_latency_models/dense_2_54_10b.h5
dense_2_54_12b,2,54,12,pregen_latency_models/dense_2_54_12b.h5
dense_2_54_14b,2,54,14,pregen_latency_models/dense_2_54_14b.h5
dense_2_54_16b,2,54,16,pregen_latency_models/dense_2_54_16b.h5
dense_2_56_2b,2,56,2,pregen_latency_models/dense_2_56_2b.h5
dense_2_56_4b,2,56,4,pregen_latency_models/dense_2_56_4b.h5
dense_2_56_6b,2,56,6,pregen_latency_models/dense_2_56_6b.h5
dense_2_56_8b,2,56,8,pregen_latency_models/dense_2_56_8b.h5
dense_2_56_10b,2,56,10,pregen_latency_models/dense_2_56_10b.h5
dense_2_56_12b,2,56,12,pregen_latency_models/dense_2_56_12b.h5
dense_2_56_14b,2,56,14,pregen_latency_models/dense_2_56_14b.h5
dense_2_56_16b,2,56,16,pregen_latency_models/dense_2_56_16b.h5
dense_2_58_2b,2,58,2,pregen_latency_models/dense_2_58_2b.h5
dense_2_58_4b,2,58,4,pregen_latency_models/dense_2_58_4b.h5
dense_2_58_6b,2,58,6,pregen_latency_models/dense_2_58_6b.h5
dense_2_58_8b,2,58,8,pregen_latency_models/dense_2_58_8b.h5
dense_2_58_10b,2,58,10,pregen_latency_models/dense_2_58_10b.h5
