model_name,d_in,d_out,prec,model_file
dense_2_2_2b,2,2,2,pregen_latency_models/dense_2_2_2b.h5
dense_2_2_4b,2,2,4,pregen_latency_models/dense_2_2_4b.h5
dense_2_2_6b,2,2,6,pregen_latency_models/dense_2_2_6b.h5
dense_2_2_8b,2,2,8,pregen_latency_models/dense_2_2_8b.h5
dense_2_2_10b,2,2,10,pregen_latency_models/dense_2_2_10b.h5
dense_2_2_12b,2,2,12,pregen_latency_models/dense_2_2_12b.h5
dense_2_2_14b,2,2,14,pregen_latency_models/dense_2_2_14b.h5
dense_2_2_16b,2,2,16,pregen_latency_models/dense_2_2_16b.h5
dense_2_4_2b,2,4,2,pregen_latency_models/dense_2_4_2b.h5
dense_2_4_4b,2,4,4,pregen_latency_models/dense_2_4_4b.h5
dense_2_4_6b,2,4,6,pregen_latency_models/dense_2_4_6b.h5
dense_2_4_8b,2,4,8,pregen_latency_models/dense_2_4_8b.h5
dense_2_4_10b,2,4,10,pregen_latency_models/dense_2_4_10b.h5
dense_2_4_12b,2,4,12,pregen_latency_models/dense_2_4_12b.h5
dense_2_4_14b,2,4,14,pregen_latency_models/dense_2_4_14b.h5
dense_2_4_16b,2,4,16,pregen_latency_models/dense_2_4_16b.h5
dense_2_6_2b,2,6,2,pregen_latency_models/dense_2_6_2b.h5
dense_2_6_4b,2,6,4,pregen_latency_models/dense_2_6_4b.h5
dense_2_6_6b,2,6,6,pregen_latency_models/dense_2_6_6b.h5
dense_2_6_8b,2,6,8,pregen_latency_models/dense_2_6_8b.h5
dense_2_6_10b,2,6,10,pregen_latency_models/dense_2_6_10b.h5
dense_2_6_12b,2,6,12,pregen_latency_models/dense_2_6_12b.h5
dense_2_6_14b,2,6,14,pregen_latency_models/dense_2_6_14b.h5
dense_2_6_16b,2,6,16,pregen_latency_models/dense_2_6_16b.h5
dense_2_8_2b,2,8,2,pregen_latency_models/dense_2_8_2b.h5
dense_2_8_4b,2,8,4,pregen_latency_models/dense_2_8_4b.h5
