model_name,d_in,d_out,d_out2,prec,model_file
dense_64_40_128_10b,64,40,128,10,pregen_2layer_models/dense_64_40_128_10b.h5
dense_64_40_128_12b,64,40,128,12,pregen_2layer_models/dense_64_40_128_12b.h5
dense_64_40_128_14b,64,40,128,14,pregen_2layer_models/dense_64_40_128_14b.h5
dense_64_40_128_16b,64,40,128,16,pregen_2layer_models/dense_64_40_128_16b.h5
dense_64_48_72_2b,64,48,72,2,pregen_2layer_models/dense_64_48_72_2b.h5
dense_64_48_72_4b,64,48,72,4,pregen_2layer_models/dense_64_48_72_4b.h5
dense_64_48_72_6b,64,48,72,6,pregen_2layer_models/dense_64_48_72_6b.h5
dense_64_48_72_8b,64,48,72,8,pregen_2layer_models/dense_64_48_72_8b.h5
dense_64_48_72_10b,64,48,72,10,pregen_2layer_models/dense_64_48_72_10b.h5
dense_64_48_72_12b,64,48,72,12,pregen_2layer_models/dense_64_48_72_12b.h5
dense_64_48_72_14b,64,48,72,14,pregen_2layer_models/dense_64_48_72_14b.h5
dense_64_48_72_16b,64,48,72,16,pregen_2layer_models/dense_64_48_72_16b.h5
dense_64_48_80_2b,64,48,80,2,pregen_2layer_models/dense_64_48_80_2b.h5
dense_64_48_80_4b,64,48,80,4,pregen_2layer_models/dense_64_48_80_4b.h5
dense_64_48_80_6b,64,48,80,6,pregen_2layer_models/dense_64_48_80_6b.h5
dense_64_48_80_8b,64,48,80,8,pregen_2layer_models/dense_64_48_80_8b.h5
dense_64_48_80_10b,64,48,80,10,pregen_2layer_models/dense_64_48_80_10b.h5
dense_64_48_80_12b,64,48,80,12,pregen_2layer_models/dense_64_48_80_12b.h5
dense_64_48_80_14b,64,48,80,14,pregen_2layer_models/dense_64_48_80_14b.h5
dense_64_48_80_16b,64,48,80,16,pregen_2layer_models/dense_64_48_80_16b.h5
dense_64_48_88_2b,64,48,88,2,pregen_2layer_models/dense_64_48_88_2b.h5
dense_64_48_88_4b,64,48,88,4,pregen_2layer_models/dense_64_48_88_4b.h5
dense_64_48_88_6b,64,48,88,6,pregen_2layer_models/dense_64_48_88_6b.h5
dense_64_48_88_8b,64,48,88,8,pregen_2layer_models/dense_64_48_88_8b.h5
dense_64_48_88_10b,64,48,88,10,pregen_2layer_models/dense_64_48_88_10b.h5
dense_64_48_88_12b,64,48,88,12,pregen_2layer_models/dense_64_48_88_12b.h5
dense_64_48_88_14b,64,48,88,14,pregen_2layer_models/dense_64_48_88_14b.h5
dense_64_48_88_16b,64,48,88,16,pregen_2layer_models/dense_64_48_88_16b.h5
dense_64_48_96_2b,64,48,96,2,pregen_2layer_models/dense_64_48_96_2b.h5
dense_64_48_96_4b,64,48,96,4,pregen_2layer_models/dense_64_48_96_4b.h5
dense_64_48_96_6b,64,48,96,6,pregen_2layer_models/dense_64_48_96_6b.h5
dense_64_48_96_8b,64,48,96,8,pregen_2layer_models/dense_64_48_96_8b.h5
dense_64_48_96_10b,64,48,96,10,pregen_2layer_models/dense_64_48_96_10b.h5
dense_64_48_96_12b,64,48,96,12,pregen_2layer_models/dense_64_48_96_12b.h5
dense_64_48_96_14b,64,48,96,14,pregen_2layer_models/dense_64_48_96_14b.h5
dense_64_48_96_16b,64,48,96,16,pregen_2layer_models/dense_64_48_96_16b.h5
dense_64_48_104_2b,64,48,104,2,pregen_2layer_models/dense_64_48_104_2b.h5
dense_64_48_104_4b,64,48,104,4,pregen_2layer_models/dense_64_48_104_4b.h5
dense_64_48_104_6b,64,48,104,6,pregen_2layer_models/dense_64_48_104_6b.h5
dense_64_48_104_8b,64,48,104,8,pregen_2layer_models/dense_64_48_104_8b.h5
dense_64_48_104_10b,64,48,104,10,pregen_2layer_models/dense_64_48_104_10b.h5
dense_64_48_104_12b,64,48,104,12,pregen_2layer_models/dense_64_48_104_12b.h5
dense_64_48_104_14b,64,48,104,14,pregen_2layer_models/dense_64_48_104_14b.h5
dense_64_48_104_16b,64,48,104,16,pregen_2layer_models/dense_64_48_104_16b.h5
dense_64_48_112_2b,64,48,112,2,pregen_2layer_models/dense_64_48_112_2b.h5
dense_64_48_112_4b,64,48,112,4,pregen_2layer_models/dense_64_48_112_4b.h5
dense_64_48_112_6b,64,48,112,6,pregen_2layer_models/dense_64_48_112_6b.h5
dense_64_48_112_8b,64,48,112,8,pregen_2layer_models/dense_64_48_112_8b.h5
dense_64_48_112_10b,64,48,112,10,pregen_2layer_models/dense_64_48_112_10b.h5
dense_64_48_112_12b,64,48,112,12,pregen_2layer_models/dense_64_48_112_12b.h5
dense_64_48_112_14b,64,48,112,14,pregen_2layer_models/dense_64_48_112_14b.h5
dense_64_48_112_16b,64,48,112,16,pregen_2layer_models/dense_64_48_112_16b.h5
dense_64_48_120_2b,64,48,120,2,pregen_2layer_models/dense_64_48_120_2b.h5
dense_64_48_120_4b,64,48,120,4,pregen_2layer_models/dense_64_48_120_4b.h5
dense_64_48_120_6b,64,48,120,6,pregen_2layer_models/dense_64_48_120_6b.h5
dense_64_48_120_8b,64,48,120,8,pregen_2layer_models/dense_64_48_120_8b.h5
dense_64_48_120_10b,64,48,120,10,pregen_2layer_models/dense_64_48_120_10b.h5
dense_64_48_120_12b,64,48,120,12,pregen_2layer_models/dense_64_48_120_12b.h5
dense_64_48_120_14b,64,48,120,14,pregen_2layer_models/dense_64_48_120_14b.h5
dense_64_48_120_16b,64,48,120,16,pregen_2layer_models/dense_64_48_120_16b.h5
dense_64_48_128_2b,64,48,128,2,pregen_2layer_models/dense_64_48_128_2b.h5
dense_64_48_128_4b,64,48,128,4,pregen_2layer_models/dense_64_48_128_4b.h5
dense_64_48_128_6b,64,48,128,6,pregen_2layer_models/dense_64_48_128_6b.h5
dense_64_48_128_8b,64,48,128,8,pregen_2layer_models/dense_64_48_128_8b.h5
dense_64_48_128_10b,64,48,128,10,pregen_2layer_models/dense_64_48_128_10b.h5
dense_64_48_128_12b,64,48,128,12,pregen_2layer_models/dense_64_48_128_12b.h5
dense_64_48_128_14b,64,48,128,14,pregen_2layer_models/dense_64_48_128_14b.h5
dense_64_48_128_16b,64,48,128,16,pregen_2layer_models/dense_64_48_128_16b.h5
dense_64_56_72_2b,64,56,72,2,pregen_2layer_models/dense_64_56_72_2b.h5
dense_64_56_72_4b,64,56,72,4,pregen_2layer_models/dense_64_56_72_4b.h5
dense_64_56_72_6b,64,56,72,6,pregen_2layer_models/dense_64_56_72_6b.h5
dense_64_56_72_8b,64,56,72,8,pregen_2layer_models/dense_64_56_72_8b.h5
dense_64_56_72_10b,64,56,72,10,pregen_2layer_models/dense_64_56_72_10b.h5
dense_64_56_72_12b,64,56,72,12,pregen_2layer_models/dense_64_56_72_12b.h5
dense_64_56_72_14b,64,56,72,14,pregen_2layer_models/dense_64_56_72_14b.h5
dense_64_56_72_16b,64,56,72,16,pregen_2layer_models/dense_64_56_72_16b.h5
dense_64_56_80_2b,64,56,80,2,pregen_2layer_models/dense_64_56_80_2b.h5
dense_64_56_80_4b,64,56,80,4,pregen_2layer_models/dense_64_56_80_4b.h5
dense_64_56_80_6b,64,56,80,6,pregen_2layer_models/dense_64_56_80_6b.h5
dense_64_56_80_8b,64,56,80,8,pregen_2layer_models/dense_64_56_80_8b.h5
dense_64_56_80_10b,64,56,80,10,pregen_2layer_models/dense_64_56_80_10b.h5
dense_64_56_80_12b,64,56,80,12,pregen_2layer_models/dense_64_56_80_12b.h5
dense_64_56_80_14b,64,56,80,14,pregen_2layer_models/dense_64_56_80_14b.h5
dense_64_56_80_16b,64,56,80,16,pregen_2layer_models/dense_64_56_80_16b.h5
dense_64_56_88_2b,64,56,88,2,pregen_2layer_models/dense_64_56_88_2b.h5
dense_64_56_88_4b,64,56,88,4,pregen_2layer_models/dense_64_56_88_4b.h5
dense_64_56_88_6b,64,56,88,6,pregen_2layer_models/dense_64_56_88_6b.h5
dense_64_56_88_8b,64,56,88,8,pregen_2layer_models/dense_64_56_88_8b.h5
dense_64_56_88_10b,64,56,88,10,pregen_2layer_models/dense_64_56_88_10b.h5
dense_64_56_88_12b,64,56,88,12,pregen_2layer_models/dense_64_56_88_12b.h5
dense_64_56_88_14b,64,56,88,14,pregen_2layer_models/dense_64_56_88_14b.h5
dense_64_56_88_16b,64,56,88,16,pregen_2layer_models/dense_64_56_88_16b.h5
dense_64_56_96_2b,64,56,96,2,pregen_2layer_models/dense_64_56_96_2b.h5
dense_64_56_96_4b,64,56,96,4,pregen_2layer_models/dense_64_56_96_4b.h5
dense_64_56_96_6b,64,56,96,6,pregen_2layer_models/dense_64_56_96_6b.h5
dense_64_56_96_8b,64,56,96,8,pregen_2layer_models/dense_64_56_96_8b.h5
dense_64_56_96_10b,64,56,96,10,pregen_2layer_models/dense_64_56_96_10b.h5
dense_64_56_96_12b,64,56,96,12,pregen_2layer_models/dense_64_56_96_12b.h5
dense_64_56_96_14b,64,56,96,14,pregen_2layer_models/dense_64_56_96_14b.h5
dense_64_56_96_16b,64,56,96,16,pregen_2layer_models/dense_64_56_96_16b.h5
dense_64_56_104_2b,64,56,104,2,pregen_2layer_models/dense_64_56_104_2b.h5
dense_64_56_104_4b,64,56,104,4,pregen_2layer_models/dense_64_56_104_4b.h5
dense_64_56_104_6b,64,56,104,6,pregen_2layer_models/dense_64_56_104_6b.h5
dense_64_56_104_8b,64,56,104,8,pregen_2layer_models/dense_64_56_104_8b.h5
dense_64_56_104_10b,64,56,104,10,pregen_2layer_models/dense_64_56_104_10b.h5
dense_64_56_104_12b,64,56,104,12,pregen_2layer_models/dense_64_56_104_12b.h5
dense_64_56_104_14b,64,56,104,14,pregen_2layer_models/dense_64_56_104_14b.h5
dense_64_56_104_16b,64,56,104,16,pregen_2layer_models/dense_64_56_104_16b.h5
dense_64_56_112_2b,64,56,112,2,pregen_2layer_models/dense_64_56_112_2b.h5
dense_64_56_112_4b,64,56,112,4,pregen_2layer_models/dense_64_56_112_4b.h5
dense_64_56_112_6b,64,56,112,6,pregen_2layer_models/dense_64_56_112_6b.h5
dense_64_56_112_8b,64,56,112,8,pregen_2layer_models/dense_64_56_112_8b.h5
dense_64_56_112_10b,64,56,112,10,pregen_2layer_models/dense_64_56_112_10b.h5
dense_64_56_112_12b,64,56,112,12,pregen_2layer_models/dense_64_56_112_12b.h5
dense_64_56_112_14b,64,56,112,14,pregen_2layer_models/dense_64_56_112_14b.h5
dense_64_56_112_16b,64,56,112,16,pregen_2layer_models/dense_64_56_112_16b.h5
dense_64_56_120_2b,64,56,120,2,pregen_2layer_models/dense_64_56_120_2b.h5
dense_64_56_120_4b,64,56,120,4,pregen_2layer_models/dense_64_56_120_4b.h5
dense_64_56_120_6b,64,56,120,6,pregen_2layer_models/dense_64_56_120_6b.h5
dense_64_56_120_8b,64,56,120,8,pregen_2layer_models/dense_64_56_120_8b.h5
dense_64_56_120_10b,64,56,120,10,pregen_2layer_models/dense_64_56_120_10b.h5
dense_64_56_120_12b,64,56,120,12,pregen_2layer_models/dense_64_56_120_12b.h5
dense_64_56_120_14b,64,56,120,14,pregen_2layer_models/dense_64_56_120_14b.h5
dense_64_56_120_16b,64,56,120,16,pregen_2layer_models/dense_64_56_120_16b.h5
dense_64_56_128_2b,64,56,128,2,pregen_2layer_models/dense_64_56_128_2b.h5
dense_64_56_128_4b,64,56,128,4,pregen_2layer_models/dense_64_56_128_4b.h5
dense_64_56_128_6b,64,56,128,6,pregen_2layer_models/dense_64_56_128_6b.h5
dense_64_56_128_8b,64,56,128,8,pregen_2layer_models/dense_64_56_128_8b.h5
dense_64_56_128_10b,64,56,128,10,pregen_2layer_models/dense_64_56_128_10b.h5
dense_64_56_128_12b,64,56,128,12,pregen_2layer_models/dense_64_56_128_12b.h5
dense_64_56_128_14b,64,56,128,14,pregen_2layer_models/dense_64_56_128_14b.h5
dense_64_56_128_16b,64,56,128,16,pregen_2layer_models/dense_64_56_128_16b.h5
dense_64_64_72_2b,64,64,72,2,pregen_2layer_models/dense_64_64_72_2b.h5
dense_64_64_72_4b,64,64,72,4,pregen_2layer_models/dense_64_64_72_4b.h5
dense_64_64_72_6b,64,64,72,6,pregen_2layer_models/dense_64_64_72_6b.h5
dense_64_64_72_8b,64,64,72,8,pregen_2layer_models/dense_64_64_72_8b.h5
dense_64_64_72_10b,64,64,72,10,pregen_2layer_models/dense_64_64_72_10b.h5
dense_64_64_72_12b,64,64,72,12,pregen_2layer_models/dense_64_64_72_12b.h5
dense_64_64_72_14b,64,64,72,14,pregen_2layer_models/dense_64_64_72_14b.h5
dense_64_64_72_16b,64,64,72,16,pregen_2layer_models/dense_64_64_72_16b.h5
dense_64_64_80_2b,64,64,80,2,pregen_2layer_models/dense_64_64_80_2b.h5
dense_64_64_80_4b,64,64,80,4,pregen_2layer_models/dense_64_64_80_4b.h5
dense_64_64_80_6b,64,64,80,6,pregen_2layer_models/dense_64_64_80_6b.h5
dense_64_64_80_8b,64,64,80,8,pregen_2layer_models/dense_64_64_80_8b.h5
dense_64_64_80_10b,64,64,80,10,pregen_2layer_models/dense_64_64_80_10b.h5
dense_64_64_80_12b,64,64,80,12,pregen_2layer_models/dense_64_64_80_12b.h5
dense_64_64_80_14b,64,64,80,14,pregen_2layer_models/dense_64_64_80_14b.h5
dense_64_64_80_16b,64,64,80,16,pregen_2layer_models/dense_64_64_80_16b.h5
dense_64_64_88_2b,64,64,88,2,pregen_2layer_models/dense_64_64_88_2b.h5
dense_64_64_88_4b,64,64,88,4,pregen_2layer_models/dense_64_64_88_4b.h5
dense_64_64_88_6b,64,64,88,6,pregen_2layer_models/dense_64_64_88_6b.h5
dense_64_64_88_8b,64,64,88,8,pregen_2layer_models/dense_64_64_88_8b.h5
dense_64_64_88_10b,64,64,88,10,pregen_2layer_models/dense_64_64_88_10b.h5
dense_64_64_88_12b,64,64,88,12,pregen_2layer_models/dense_64_64_88_12b.h5
dense_64_64_88_14b,64,64,88,14,pregen_2layer_models/dense_64_64_88_14b.h5
dense_64_64_88_16b,64,64,88,16,pregen_2layer_models/dense_64_64_88_16b.h5
dense_64_64_96_2b,64,64,96,2,pregen_2layer_models/dense_64_64_96_2b.h5
dense_64_64_96_4b,64,64,96,4,pregen_2layer_models/dense_64_64_96_4b.h5
dense_64_64_96_6b,64,64,96,6,pregen_2layer_models/dense_64_64_96_6b.h5
dense_64_64_96_8b,64,64,96,8,pregen_2layer_models/dense_64_64_96_8b.h5
dense_64_64_96_10b,64,64,96,10,pregen_2layer_models/dense_64_64_96_10b.h5
dense_64_64_96_12b,64,64,96,12,pregen_2layer_models/dense_64_64_96_12b.h5
dense_64_64_96_14b,64,64,96,14,pregen_2layer_models/dense_64_64_96_14b.h5
dense_64_64_96_16b,64,64,96,16,pregen_2layer_models/dense_64_64_96_16b.h5
dense_64_64_104_2b,64,64,104,2,pregen_2layer_models/dense_64_64_104_2b.h5
dense_64_64_104_4b,64,64,104,4,pregen_2layer_models/dense_64_64_104_4b.h5
dense_64_64_104_6b,64,64,104,6,pregen_2layer_models/dense_64_64_104_6b.h5
dense_64_64_104_8b,64,64,104,8,pregen_2layer_models/dense_64_64_104_8b.h5
dense_64_64_104_10b,64,64,104,10,pregen_2layer_models/dense_64_64_104_10b.h5
dense_64_64_104_12b,64,64,104,12,pregen_2layer_models/dense_64_64_104_12b.h5
dense_64_64_104_14b,64,64,104,14,pregen_2layer_models/dense_64_64_104_14b.h5
dense_64_64_104_16b,64,64,104,16,pregen_2layer_models/dense_64_64_104_16b.h5
dense_64_64_112_2b,64,64,112,2,pregen_2layer_models/dense_64_64_112_2b.h5
dense_64_64_112_4b,64,64,112,4,pregen_2layer_models/dense_64_64_112_4b.h5
dense_64_64_112_6b,64,64,112,6,pregen_2layer_models/dense_64_64_112_6b.h5
dense_64_64_112_8b,64,64,112,8,pregen_2layer_models/dense_64_64_112_8b.h5
dense_64_64_112_10b,64,64,112,10,pregen_2layer_models/dense_64_64_112_10b.h5
dense_64_64_112_12b,64,64,112,12,pregen_2layer_models/dense_64_64_112_12b.h5
dense_64_64_112_14b,64,64,112,14,pregen_2layer_models/dense_64_64_112_14b.h5
dense_64_64_112_16b,64,64,112,16,pregen_2layer_models/dense_64_64_112_16b.h5
dense_64_64_120_2b,64,64,120,2,pregen_2layer_models/dense_64_64_120_2b.h5
dense_64_64_120_4b,64,64,120,4,pregen_2layer_models/dense_64_64_120_4b.h5
dense_64_64_120_6b,64,64,120,6,pregen_2layer_models/dense_64_64_120_6b.h5
dense_64_64_120_8b,64,64,120,8,pregen_2layer_models/dense_64_64_120_8b.h5
dense_64_64_120_10b,64,64,120,10,pregen_2layer_models/dense_64_64_120_10b.h5
dense_64_64_120_12b,64,64,120,12,pregen_2layer_models/dense_64_64_120_12b.h5
dense_64_64_120_14b,64,64,120,14,pregen_2layer_models/dense_64_64_120_14b.h5
dense_64_64_120_16b,64,64,120,16,pregen_2layer_models/dense_64_64_120_16b.h5
dense_64_64_128_2b,64,64,128,2,pregen_2layer_models/dense_64_64_128_2b.h5
dense_64_64_128_4b,64,64,128,4,pregen_2layer_models/dense_64_64_128_4b.h5
